169	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
977	SENSORS_VALUES	78.431374	0	1	35.13	44.5	21.3	28.81	49.5	17.2	25.96	66.5	19.3	68.88	27.06
2801	SENSORS_VALUES	78.431374	0	1	35.26	44.4	21.4	28.80	49.5	17.2	25.95	66.7	19.3	68.50	27.06
4801	SENSORS_VALUES	78.431374	0	1	35.45	44.1	21.4	28.81	49.5	17.2	25.96	66.8	19.3	68.31	27.06
6802	SENSORS_VALUES	78.431374	0	1	35.56	43.9	21.4	28.81	49.5	17.2	25.96	66.5	19.3	68.31	27.00
8801	SENSORS_VALUES	78.431374	0	1	35.61	43.8	21.4	28.84	49.5	17.3	25.98	66.2	19.2	68.44	27.06
10801	SENSORS_VALUES	78.431374	0	1	35.67	43.7	21.4	28.81	49.5	17.2	25.96	66.1	19.2	68.56	27.06
12801	SENSORS_VALUES	78.431374	0	1	35.75	43.6	21.5	28.83	49.6	17.3	25.98	66.1	19.2	68.81	27.06
14801	SENSORS_VALUES	78.431374	0	1	35.80	43.5	21.5	28.84	49.7	17.3	25.96	66.0	19.2	69.06	27.06
16801	SENSORS_VALUES	78.431374	0	1	35.86	43.5	21.5	28.87	49.7	17.3	25.94	66.0	19.1	69.38	27.06
18801	SENSORS_VALUES	78.431374	0	1	35.93	43.4	21.6	28.87	49.7	17.3	25.95	65.9	19.1	69.63	27.06
20801	SENSORS_VALUES	78.431374	0	1	35.96	43.3	21.6	28.87	49.7	17.3	25.96	65.9	19.1	69.88	27.06
22801	SENSORS_VALUES	78.431374	0	1	36.01	43.3	21.6	28.87	49.7	17.3	25.95	65.9	19.1	70.13	27.06
24801	SENSORS_VALUES	78.431374	0	1	36.07	43.2	21.6	28.87	49.7	17.4	25.95	65.9	19.1	70.38	27.06
