73	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
74	SM_STATE	_state_regenerate	Init
870	SENSORS_VALUES	78	0	0	23.89	13.4	-5.7	24.16	32.2	6.6	23.71	69.2	17.8	24.81	23.81
2791	SENSORS_VALUES	78	0	0	23.86	13.5	-5.7	24.16	32.2	6.6	23.75	69.2	17.8	25.00	23.75
4791	SENSORS_VALUES	78	0	0	23.86	13.4	-5.7	24.18	32.2	6.6	23.75	69.2	17.8	25.44	23.75
6791	SENSORS_VALUES	78	0	0	23.87	13.4	-5.7	24.16	32.2	6.6	23.74	69.2	17.8	26.13	23.75
8791	SENSORS_VALUES	78	0	0	23.86	13.4	-5.8	24.18	32.2	6.6	23.72	69.2	17.8	26.88	23.75
10791	SENSORS_VALUES	78	0	0	23.87	13.3	-5.8	24.19	32.1	6.6	23.72	69.2	17.8	27.81	23.75
12791	SENSORS_VALUES	78	0	0	23.89	13.3	-5.9	24.22	32.2	6.6	23.75	69.2	17.8	28.75	23.81
14792	SENSORS_VALUES	78	0	0	23.86	13.2	-5.9	24.24	32.1	6.6	23.72	69.1	17.8	29.69	23.75
16791	SENSORS_VALUES	78	0	0	23.87	13.2	-5.9	24.24	32.1	6.6	23.74	69.1	17.8	30.69	23.81
18791	SENSORS_VALUES	78	0	0	23.89	13.2	-5.9	24.24	32.1	6.6	23.72	69.1	17.8	31.63	23.81
20791	SENSORS_VALUES	78	0	0	23.86	13.2	-5.9	24.24	32.1	6.6	23.75	69.1	17.8	32.56	23.75
22791	SENSORS_VALUES	78	0	0	23.86	13.1	-6.0	24.25	32.0	6.6	23.72	69.2	17.8	33.50	23.75
24791	SENSORS_VALUES	78	0	0	23.87	13.1	-6.0	24.26	32.0	6.6	23.75	69.2	17.8	34.38	23.75
26792	SENSORS_VALUES	78	0	0	23.84	13.1	-6.1	24.29	32.0	6.6	23.74	69.2	17.8	35.31	23.75
28791	SENSORS_VALUES	78	0	0	23.87	13.0	-6.1	24.26	32.0	6.6	23.75	69.2	17.8	36.19	23.81
30791	SENSORS_VALUES	78	0	0	23.86	13.0	-6.1	24.32	32.0	6.6	23.75	69.3	17.8	37.00	23.75
32791	SENSORS_VALUES	78	0	0	23.87	13.0	-6.1	24.32	31.9	6.6	23.74	69.3	17.8	37.81	23.75
34791	SENSORS_VALUES	78	0	0	23.87	13.0	-6.1	24.35	32.0	6.6	23.75	69.3	17.8	38.63	23.75
36793	SENSORS_VALUES	78	0	0	23.87	13.0	-6.1	24.32	32.0	6.6	23.74	69.3	17.8	39.44	23.75
38791	SENSORS_VALUES	78	0	0	23.87	13.0	-6.2	24.32	31.9	6.6	23.75	69.4	17.9	40.19	23.75
40791	SENSORS_VALUES	78	0	0	23.86	13.0	-6.1	24.36	31.9	6.6	23.74	69.4	17.9	41.00	23.75
42791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.36	31.9	6.6	23.74	69.5	17.9	41.75	23.75
44791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.35	31.8	6.6	23.75	69.5	17.9	42.44	23.75
46792	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.39	31.8	6.6	23.74	69.5	17.9	43.19	23.81
48791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.38	31.8	6.6	23.74	69.5	17.9	43.88	23.81
50791	SENSORS_VALUES	78	0	0	23.87	13.0	-6.2	24.40	31.8	6.6	23.75	69.5	17.9	44.56	23.75
52791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.42	31.8	6.6	23.74	69.5	17.9	45.19	23.81
54791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.42	31.8	6.6	23.74	69.6	17.9	45.88	23.75
56792	SENSORS_VALUES	78	0	0	23.86	12.9	-6.2	24.42	31.7	6.6	23.74	69.6	17.9	46.50	23.81
58791	SENSORS_VALUES	78	0	0	23.90	12.9	-6.2	24.42	31.8	6.6	23.74	69.6	17.9	47.13	23.75
60791	SENSORS_VALUES	78	0	0	23.89	12.8	-6.3	24.45	31.8	6.6	23.71	69.5	17.9	47.75	23.81
62791	SENSORS_VALUES	78	0	0	23.86	12.9	-6.3	24.45	31.7	6.6	23.72	69.5	17.9	48.38	23.75
64791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.2	24.45	31.8	6.6	23.74	69.5	17.9	48.94	23.75
66793	SENSORS_VALUES	78	0	0	23.89	12.9	-6.2	24.46	31.8	6.6	23.74	69.5	17.9	49.56	23.75
68791	SENSORS_VALUES	78	0	0	23.89	12.9	-6.2	24.48	31.7	6.6	23.72	69.5	17.9	50.13	23.75
70791	SENSORS_VALUES	78	0	0	23.87	12.9	-6.3	24.46	31.7	6.6	23.74	69.5	17.9	50.69	23.81
72791	SENSORS_VALUES	78	0	0	23.90	12.9	-6.2	24.51	31.7	6.6	23.74	69.5	17.9	51.25	23.81
74792	SENSORS_VALUES	78	0	0	23.87	12.8	-6.3	24.51	31.7	6.6	23.75	69.5	17.9	51.75	23.75
76791	SENSORS_VALUES	78	0	0	23.89	12.8	-6.3	24.52	31.7	6.7	23.72	69.4	17.8	52.31	23.81
78791	SENSORS_VALUES	78	0	0	23.87	12.8	-6.4	24.52	31.7	6.7	23.72	69.4	17.8	52.81	23.81
80791	SENSORS_VALUES	78	0	0	23.87	12.8	-6.3	24.52	31.7	6.6	23.74	69.4	17.8	53.31	23.75
82793	SENSORS_VALUES	78	0	0	23.89	12.8	-6.3	24.54	31.7	6.7	23.75	69.4	17.9	53.81	23.81
84791	SENSORS_VALUES	78	0	0	23.89	12.8	-6.3	24.55	31.7	6.7	23.72	69.3	17.8	54.31	23.75
86791	SENSORS_VALUES	78	0	0	23.87	12.8	-6.3	24.54	31.7	6.7	23.75	69.3	17.8	54.81	23.75
88791	SENSORS_VALUES	78	0	0	23.87	12.8	-6.3	24.56	31.7	6.7	23.75	69.3	17.8	55.25	23.81
90791	SENSORS_VALUES	78	0	0	23.87	12.8	-6.3	24.55	31.7	6.7	23.74	69.3	17.8	55.69	23.81
92792	SENSORS_VALUES	78	0	0	23.91	12.8	-6.3	24.56	31.7	6.7	23.75	69.3	17.8	56.13	23.81
94793	SENSORS_VALUES	78	0	0	23.90	12.8	-6.3	24.59	31.7	6.7	23.75	69.3	17.8	56.56	23.81
96792	SENSORS_VALUES	78	0	0	23.90	12.8	-6.3	24.60	31.7	6.7	23.74	69.3	17.8	57.00	23.81
98791	SENSORS_VALUES	78	0	0	23.87	12.8	-6.3	24.62	31.7	6.7	23.75	69.3	17.8	57.44	23.81
100791	SENSORS_VALUES	78	0	0	23.90	12.8	-6.3	24.62	31.7	6.7	23.74	69.3	17.8	57.88	23.81
102792	SENSORS_VALUES	78	0	0	23.89	12.8	-6.3	24.62	31.7	6.7	23.77	69.3	17.9	58.31	23.81
104791	SENSORS_VALUES	78	0	0	23.91	12.7	-6.4	24.62	31.7	6.7	23.75	69.3	17.8	58.69	23.81
106791	SENSORS_VALUES	78	0	0	23.90	12.8	-6.4	24.63	31.7	6.8	23.75	69.4	17.9	59.13	23.81
108791	SENSORS_VALUES	78	0	0	23.89	12.8	-6.3	24.66	31.7	6.8	23.75	69.5	17.9	59.50	23.81
110792	SENSORS_VALUES	78	0	0	23.91	12.8	-6.3	24.66	31.7	6.8	23.75	69.4	17.9	59.88	23.81
112791	SENSORS_VALUES	78	0	0	23.91	12.8	-6.3	24.66	31.7	6.8	23.75	69.5	17.9	60.25	23.81
114792	SENSORS_VALUES	78	0	0	23.90	12.8	-6.4	24.67	31.7	6.8	23.75	69.5	17.9	60.63	23.81
116793	SENSORS_VALUES	78	0	0	23.89	12.7	-6.4	24.67	31.7	6.8	23.74	69.5	17.9	61.00	23.81
118791	SENSORS_VALUES	78	0	0	23.90	12.8	-6.4	24.69	31.7	6.8	23.77	69.5	17.9	61.38	23.81
120791	SENSORS_VALUES	78	0	0	23.90	12.8	-6.4	24.67	31.7	6.8	23.74	69.5	17.9	61.75	23.81
122791	SENSORS_VALUES	78	0	0	23.90	12.7	-6.4	24.70	31.7	6.8	23.74	69.5	17.9	62.13	23.81
124791	SENSORS_VALUES	78	0	0	23.91	12.8	-6.3	24.70	31.7	6.8	23.74	69.5	17.9	62.44	23.81
126792	SENSORS_VALUES	78	0	0	23.90	12.8	-6.4	24.72	31.7	6.8	23.72	69.5	17.9	62.81	23.81
128791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.72	31.7	6.8	23.75	69.5	17.9	63.19	23.81
130791	SENSORS_VALUES	78	0	0	23.93	12.7	-6.4	24.73	31.7	6.8	23.72	69.5	17.9	63.50	23.81
132791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.76	31.7	6.9	23.72	69.5	17.9	63.81	23.81
134791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.76	31.7	6.9	23.71	69.5	17.8	64.19	23.81
136791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.76	31.7	6.9	23.72	69.5	17.9	64.50	23.81
138791	SENSORS_VALUES	78	0	0	23.90	12.8	-6.3	24.79	31.7	6.9	23.71	69.5	17.8	64.81	23.81
140791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.76	31.7	6.9	23.71	69.5	17.8	65.13	23.81
142791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.80	31.7	6.9	23.74	69.5	17.9	65.44	23.81
144791	SENSORS_VALUES	78	0	0	23.91	12.8	-6.3	24.80	31.7	6.9	23.71	69.5	17.9	65.75	23.81
146791	SENSORS_VALUES	78	0	0	23.96	12.8	-6.2	24.83	31.7	6.9	23.71	69.6	17.9	66.06	23.81
148791	SENSORS_VALUES	78	0	0	23.93	12.8	-6.3	24.83	31.7	6.9	23.72	69.5	17.9	66.38	23.81
150791	SENSORS_VALUES	78	0	0	23.95	12.8	-6.3	24.85	31.7	6.9	23.71	69.5	17.9	66.63	23.88
152792	SENSORS_VALUES	78	0	0	23.93	12.9	-6.2	24.83	31.7	6.9	23.71	69.5	17.9	66.94	23.81
154791	SENSORS_VALUES	78	0	0	23.95	12.9	-6.2	24.85	31.7	6.9	23.72	69.5	17.9	67.25	23.81
156791	SENSORS_VALUES	78	0	0	23.95	12.9	-6.2	24.86	31.7	6.9	23.72	69.5	17.9	67.50	23.81
158791	SENSORS_VALUES	78	0	0	23.96	12.9	-6.2	24.85	31.7	6.9	23.72	69.5	17.9	67.81	23.81
160791	SENSORS_VALUES	78	0	0	23.97	12.9	-6.2	24.89	31.7	7.0	23.72	69.5	17.9	68.13	23.81
162791	SENSORS_VALUES	78	0	0	23.96	12.9	-6.2	24.89	31.7	7.0	23.72	69.6	17.9	68.38	23.81
164791	SENSORS_VALUES	78	0	0	23.96	12.8	-6.3	24.90	31.7	7.0	23.72	69.5	17.9	68.63	23.88
166791	SENSORS_VALUES	78	0	0	23.99	12.8	-6.2	24.91	31.8	7.0	23.72	69.5	17.9	68.94	23.81
168791	SENSORS_VALUES	78	0	0	23.97	12.9	-6.2	24.91	31.7	7.0	23.72	69.4	17.8	69.19	23.88
170793	SENSORS_VALUES	78	0	0	23.97	12.9	-6.1	24.90	31.7	7.0	23.70	69.4	17.8	69.44	23.81
172791	SENSORS_VALUES	78	0	0	24.00	12.9	-6.1	24.93	31.7	7.0	23.71	69.5	17.8	69.69	23.81
174791	SENSORS_VALUES	78	0	0	23.99	12.9	-6.1	24.94	31.7	7.0	23.71	69.4	17.8	70.00	23.81
176792	SENSORS_VALUES	78	0	0	24.00	12.9	-6.1	24.94	31.8	7.0	23.71	69.4	17.8	70.25	23.81
178791	SENSORS_VALUES	78	0	0	23.99	12.9	-6.1	24.97	31.7	7.0	23.72	69.4	17.8	70.50	23.88
180791	SENSORS_VALUES	78	0	0	24.01	12.9	-6.1	24.97	31.7	7.0	23.71	69.4	17.8	70.75	23.81
182791	SENSORS_VALUES	78	0	0	24.00	13.0	-6.1	24.97	31.8	7.1	23.74	69.4	17.9	71.00	23.88
184791	SENSORS_VALUES	78	0	0	24.01	12.9	-6.1	24.99	31.7	7.1	23.72	69.4	17.8	71.25	23.81
186791	SENSORS_VALUES	78	0	0	24.01	13.0	-6.0	25.02	31.7	7.1	23.70	69.4	17.8	71.44	23.81
188791	SENSORS_VALUES	78	0	0	24.03	13.0	-6.0	25.02	31.8	7.1	23.71	69.4	17.8	71.69	23.81
190791	SENSORS_VALUES	78	0	0	24.01	13.0	-6.0	25.02	31.7	7.1	23.72	69.4	17.8	71.88	23.88
192791	SENSORS_VALUES	78	0	0	24.03	13.0	-6.1	25.02	31.7	7.1	23.72	69.4	17.8	72.06	23.81
194791	SENSORS_VALUES	78	0	0	24.03	13.1	-6.0	25.02	31.7	7.1	23.71	69.4	17.8	72.25	23.88
196792	SENSORS_VALUES	78	0	0	24.03	13.0	-6.0	25.06	31.7	7.1	23.72	69.4	17.8	72.44	23.88
198791	SENSORS_VALUES	78	0	0	24.04	13.1	-5.9	25.05	31.8	7.1	23.71	69.3	17.8	72.63	23.88
200791	SENSORS_VALUES	78	0	0	24.07	13.1	-5.9	25.06	31.8	7.1	23.72	69.4	17.8	72.81	23.88
202791	SENSORS_VALUES	78	0	0	24.06	13.1	-5.9	25.07	31.7	7.1	23.72	69.3	17.8	73.00	23.88
204793	SENSORS_VALUES	78	0	0	24.07	13.1	-5.9	25.07	31.7	7.1	23.71	69.4	17.8	73.19	23.88
206791	SENSORS_VALUES	78	0	0	24.07	13.1	-5.9	25.10	31.8	7.2	23.71	69.4	17.8	73.38	23.88
208792	SENSORS_VALUES	78	0	0	24.06	13.1	-5.9	25.11	31.8	7.2	23.72	69.4	17.8	73.56	23.88
210791	SENSORS_VALUES	78	0	0	24.10	13.2	-5.8	25.10	31.7	7.2	23.71	69.3	17.8	73.75	23.88
212791	SENSORS_VALUES	78	0	0	24.08	13.2	-5.8	25.10	31.7	7.2	23.71	69.4	17.8	73.88	23.88
214791	SENSORS_VALUES	78	0	0	24.11	13.2	-5.7	25.14	31.8	7.2	23.72	69.3	17.8	74.06	23.88
216792	SENSORS_VALUES	78	0	0	24.10	13.2	-5.8	25.14	31.8	7.2	23.72	69.4	17.8	74.25	23.88
218791	SENSORS_VALUES	78	0	0	24.10	13.2	-5.7	25.13	31.8	7.2	23.71	69.4	17.8	74.44	23.88
220791	SENSORS_VALUES	78	0	0	24.13	13.2	-5.7	25.14	31.8	7.2	23.71	69.3	17.8	74.56	23.88
222791	SENSORS_VALUES	78	0	0	24.13	13.2	-5.7	25.17	31.7	7.2	23.74	69.3	17.8	74.75	23.88
224792	SENSORS_VALUES	78	0	0	24.11	13.2	-5.7	25.18	31.8	7.3	23.71	69.4	17.8	74.94	23.94
226791	SENSORS_VALUES	78	0	0	24.13	13.3	-5.6	25.20	31.7	7.3	23.72	69.4	17.8	75.13	23.88
228791	SENSORS_VALUES	78	0	0	24.16	13.3	-5.7	25.18	31.8	7.3	23.72	69.4	17.8	75.25	23.88
230791	SENSORS_VALUES	78	0	0	24.14	13.3	-5.6	25.20	31.8	7.3	23.72	69.4	17.8	75.44	23.88
232791	SENSORS_VALUES	78	0	0	24.16	13.3	-5.6	25.20	31.8	7.3	23.74	69.4	17.9	75.63	23.94
234792	SENSORS_VALUES	78	0	0	24.18	13.4	-5.5	25.21	31.8	7.3	23.71	69.4	17.8	75.75	23.88
236791	SENSORS_VALUES	78	0	0	24.16	13.3	-5.6	25.21	31.8	7.3	23.72	69.4	17.8	75.94	23.88
238791	SENSORS_VALUES	78	0	0	24.17	13.4	-5.5	25.23	31.8	7.3	23.72	69.4	17.8	76.13	23.88
240791	SENSORS_VALUES	78	0	0	24.20	13.4	-5.5	25.24	31.8	7.3	23.71	69.4	17.8	76.25	23.88
242791	SENSORS_VALUES	78	0	0	24.20	13.4	-5.5	25.24	31.8	7.3	23.74	69.4	17.8	76.44	23.94
244791	SENSORS_VALUES	78	0	0	24.20	13.4	-5.4	25.26	31.8	7.3	23.72	69.3	17.8	76.56	23.88
246793	SENSORS_VALUES	78	0	0	24.23	13.5	-5.4	25.27	31.8	7.3	23.71	69.3	17.8	76.75	23.94
248791	SENSORS_VALUES	78	0	0	24.21	13.5	-5.4	25.27	31.8	7.3	23.71	69.3	17.8	76.88	23.94
250791	SENSORS_VALUES	78	0	0	24.24	13.6	-5.3	25.30	31.8	7.4	23.70	69.2	17.8	77.06	23.88
252791	SENSORS_VALUES	78	0	0	24.24	13.6	-5.3	25.30	31.8	7.4	23.72	69.3	17.8	77.19	23.94
254791	SENSORS_VALUES	78	0	0	24.27	13.6	-5.3	25.31	31.8	7.4	23.72	69.2	17.8	77.38	23.88
256791	SENSORS_VALUES	78	0	0	24.27	13.6	-5.2	25.30	31.8	7.4	23.72	69.2	17.8	77.50	23.88
258791	SENSORS_VALUES	78	0	0	24.27	13.6	-5.3	25.33	31.8	7.4	23.71	69.2	17.8	77.63	23.88
260791	SENSORS_VALUES	78	0	0	24.27	13.7	-5.2	25.34	31.8	7.4	23.70	69.2	17.8	77.81	23.88
262792	SENSORS_VALUES	78	0	0	24.28	13.7	-5.1	25.37	31.8	7.4	23.72	69.2	17.8	77.94	23.88
264791	SENSORS_VALUES	78	0	0	24.30	13.7	-5.1	25.37	31.9	7.5	23.70	69.2	17.8	78.13	23.94
