127	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
129	SM_STATE	'none' -> 'regenerate' Statemachine initialization
926	SENSORS_VALUES	78	0	0	52.49	32.0	30.9	30.91	43.8	17.2	25.75	57.8	16.9	96.69	26.06
10792	SENSORS_VALUES	78	0	1	52.58	29.3	29.4	30.90	43.7	17.1	25.74	57.8	16.9	94.94	26.06
20791	SENSORS_VALUES	78	0	1	52.69	28.2	28.9	30.91	44.2	17.3	25.71	57.9	16.9	94.13	26.06
30792	SENSORS_VALUES	78	0	1	52.81	27.5	28.6	30.94	44.4	17.4	25.65	58.0	16.8	93.50	26.06
40792	SENSORS_VALUES	78	0	1	52.90	27.0	28.3	30.92	44.5	17.5	25.65	57.7	16.7	93.31	26.06
50791	SENSORS_VALUES	78	0	1	53.00	26.5	28.1	30.94	44.6	17.5	25.71	57.8	16.8	93.38	26.13
60792	SENSORS_VALUES	78	0	1	53.09	26.2	27.9	30.91	44.6	17.5	25.71	57.9	16.8	93.56	26.13
70791	SENSORS_VALUES	78	0	1	53.15	25.9	27.8	30.94	44.6	17.5	25.71	57.8	16.8	93.50	26.13
80792	SENSORS_VALUES	78	0	1	53.26	25.7	27.7	30.91	44.7	17.5	25.74	57.6	16.8	93.25	26.13
90791	SENSORS_VALUES	78	0	1	53.30	25.5	27.7	30.91	44.7	17.5	25.75	57.8	16.8	93.31	26.13
100791	SENSORS_VALUES	78	0	1	53.36	25.3	27.6	30.91	44.7	17.5	25.75	57.9	16.9	93.38	26.13
110792	SENSORS_VALUES	78	0	1	53.41	25.2	27.5	30.91	44.7	17.5	25.74	57.9	16.9	93.31	26.19
120791	SENSORS_VALUES	78	0	1	53.47	25.0	27.5	30.91	44.7	17.5	25.77	57.9	16.9	93.25	26.13
130792	SENSORS_VALUES	78	0	1	53.53	24.9	27.4	30.90	44.7	17.5	25.78	57.9	16.9	93.19	26.13
140791	SENSORS_VALUES	78	0	1	53.56	24.8	27.4	30.88	44.7	17.5	25.75	57.8	16.8	93.31	26.19
150792	SENSORS_VALUES	78	0	1	53.59	24.7	27.3	30.87	44.7	17.5	25.75	57.8	16.8	93.50	26.19
160791	SENSORS_VALUES	78	0	1	53.60	24.7	27.3	30.88	44.7	17.5	25.75	57.8	16.8	93.63	26.13
170793	SENSORS_VALUES	78	0	1	53.67	24.5	27.3	30.87	44.7	17.5	25.77	57.8	16.9	93.75	26.19
180791	SENSORS_VALUES	78	0	1	53.67	24.5	27.3	30.84	44.7	17.5	25.78	57.8	16.9	93.81	26.19
190793	SENSORS_VALUES	78	0	1	53.67	24.4	27.2	30.84	44.7	17.5	25.78	57.8	16.9	93.88	26.19
200792	SENSORS_VALUES	78	0	1	53.68	24.3	27.2	30.81	44.8	17.5	25.81	57.7	16.9	93.94	26.19
210792	SENSORS_VALUES	78	0	1	53.70	24.3	27.1	30.81	44.7	17.4	25.80	57.7	16.9	94.06	26.19
220792	SENSORS_VALUES	78	0	1	53.74	24.2	27.1	30.81	44.7	17.4	25.81	57.7	16.9	94.06	26.19
230791	SENSORS_VALUES	78	0	1	53.73	24.2	27.1	30.80	44.7	17.4	25.82	57.6	16.9	94.13	26.19
240793	SENSORS_VALUES	78	0	1	53.76	24.1	27.0	30.80	44.7	17.4	25.82	57.6	16.9	94.13	26.19
250791	SENSORS_VALUES	78	0	1	53.80	24.1	27.1	30.78	44.7	17.4	25.82	57.6	16.9	94.19	26.19
260793	SENSORS_VALUES	78	0	1	53.78	24.1	27.1	30.77	44.8	17.4	25.80	57.6	16.8	94.19	26.19
270791	SENSORS_VALUES	78	0	1	53.78	24.0	27.0	30.77	44.8	17.4	25.82	57.6	16.9	94.19	26.19
280792	SENSORS_VALUES	78	0	1	53.80	24.0	27.0	30.74	44.7	17.4	25.78	57.6	16.8	94.25	26.19
290791	SENSORS_VALUES	78	0	1	53.81	23.9	27.0	30.75	44.8	17.4	25.80	57.7	16.9	94.25	26.19
300792	SENSORS_VALUES	78	0	1	53.83	23.9	27.0	30.73	44.7	17.4	25.81	57.7	16.9	94.31	26.19
310791	SENSORS_VALUES	78	0	1	53.83	23.9	26.9	30.74	44.7	17.4	25.78	57.7	16.9	94.31	26.19
320791	SENSORS_VALUES	78	0	1	53.84	23.8	26.9	30.73	44.8	17.4	25.75	57.8	16.8	94.31	26.19
330791	SENSORS_VALUES	78	0	1	53.85	23.7	26.9	30.70	44.7	17.4	25.75	57.8	16.9	94.31	26.25
340792	SENSORS_VALUES	78	0	1	53.84	23.7	26.8	30.70	44.7	17.3	25.74	57.8	16.9	94.38	26.19
