83	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
88	SM_STATE	'none' -> 'regenerate' Statemachine initialization
888	SENSORS_VALUES	78	0	0	46.19	17.0	15.2	30.84	39.1	15.4	26.70	54.5	16.8	52.56	27.13
10792	SENSORS_VALUES	78	0	0	46.03	16.8	15.0	30.81	39.1	15.3	26.69	54.4	16.8	54.75	27.13
20792	SENSORS_VALUES	78	0	0	45.88	16.8	14.8	30.80	39.1	15.3	26.66	54.5	16.8	58.56	27.19
30792	SENSORS_VALUES	78	0	0	45.69	16.7	14.6	30.78	39.1	15.3	26.66	54.5	16.8	62.06	27.13
40791	SENSORS_VALUES	78	0	0	45.52	16.6	14.4	30.77	39.0	15.2	26.66	54.5	16.8	65.06	27.13
50792	SENSORS_VALUES	78	0	0	45.38	16.6	14.2	30.75	39.0	15.3	26.72	54.4	16.8	67.81	27.13
60791	SENSORS_VALUES	78	0	0	45.20	16.7	14.1	30.73	39.0	15.2	26.73	54.3	16.8	70.31	27.13
70792	SENSORS_VALUES	78	0	0	45.08	16.7	14.1	30.70	39.0	15.2	26.73	54.3	16.8	72.56	27.13
80792	SENSORS_VALUES	78	0	0	44.96	16.7	14.0	30.71	39.0	15.2	26.75	54.3	16.8	74.63	27.13
90791	SENSORS_VALUES	78	0	0	44.83	16.8	14.0	30.68	39.0	15.2	26.76	54.3	16.8	76.63	27.19
100792	SENSORS_VALUES	78	0	0	44.73	16.9	14.0	30.67	39.0	15.1	26.73	54.2	16.8	78.38	27.13
110791	SENSORS_VALUES	78	0	0	44.64	17.0	14.0	30.67	38.9	15.1	26.76	54.2	16.8	79.94	27.13
120793	SENSORS_VALUES	78	0	0	44.54	17.1	14.0	30.66	38.9	15.1	26.76	54.3	16.8	81.25	27.13
130792	SENSORS_VALUES	78	0	0	44.47	17.3	14.2	30.63	39.0	15.1	26.77	54.2	16.8	82.56	27.13
