74	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
131	SM_STATE	'none' -> 'regenerate' Statemachine initialization
931	SENSORS_VALUES	78	0	0	26.19	20.5	1.9	26.08	13.7	-3.7	24.86	55.6	15.4	27.44	25.00
10792	SENSORS_VALUES	78	0	0	26.23	20.2	1.7	26.06	13.7	-3.8	24.86	55.6	15.4	30.25	25.00
20792	SENSORS_VALUES	78	0	0	26.21	20.1	1.6	26.11	13.6	-3.8	24.87	55.6	15.4	34.88	25.00
30791	SENSORS_VALUES	78	0	0	26.24	20.1	1.6	26.13	13.7	-3.7	24.90	55.6	15.4	39.13	25.00
40792	SENSORS_VALUES	78	0	0	26.27	20.1	1.7	26.16	13.6	-3.7	24.87	55.6	15.4	42.94	24.94
50791	SENSORS_VALUES	78	0	0	26.31	20.2	1.7	26.19	13.6	-3.7	24.89	55.6	15.4	46.38	25.00
60792	SENSORS_VALUES	78	0	0	26.36	20.3	1.8	26.22	13.6	-3.7	24.87	55.7	15.4	49.50	24.94
70792	SENSORS_VALUES	78	0	0	26.39	20.4	1.9	26.25	13.7	-3.6	24.86	55.6	15.4	52.38	24.94
80792	SENSORS_VALUES	78	0	0	26.41	20.5	2.0	26.28	13.7	-3.6	24.87	55.6	15.4	54.94	24.94
90792	SENSORS_VALUES	78	0	0	26.50	20.7	2.3	26.28	13.7	-3.6	24.90	55.6	15.4	57.38	24.94
100792	SENSORS_VALUES	78	0	0	26.54	21.0	2.5	26.31	13.7	-3.5	24.87	55.6	15.4	59.56	24.94
110792	SENSORS_VALUES	78	0	0	26.61	21.2	2.7	26.33	13.8	-3.4	24.86	55.7	15.4	61.50	24.94
120791	SENSORS_VALUES	78	0	0	26.74	21.6	3.0	26.36	13.8	-3.4	24.85	55.7	15.4	63.13	25.00
130791	SENSORS_VALUES	78	0	0	26.82	22.0	3.3	26.39	13.9	-3.3	24.86	55.7	15.4	64.75	25.00
140791	SENSORS_VALUES	78	0	0	26.92	22.4	3.7	26.42	14.0	-3.2	24.87	55.7	15.4	66.25	24.94
150792	SENSORS_VALUES	78	0	0	27.05	22.8	4.0	26.44	14.0	-3.1	24.85	55.8	15.5	67.75	24.94
160792	SENSORS_VALUES	78	0	0	27.22	23.3	4.5	26.49	14.1	-3.0	24.80	55.9	15.4	69.13	24.94
170792	SENSORS_VALUES	78	0	0	27.36	23.9	5.0	26.52	14.2	-2.9	24.82	55.9	15.5	70.44	24.94
180792	SENSORS_VALUES	78	0	0	27.52	24.3	5.4	26.53	14.2	-2.9	24.85	55.9	15.5	71.63	25.00
190792	SENSORS_VALUES	78	0	0	27.71	24.8	5.8	26.57	14.3	-2.8	24.82	55.9	15.4	72.81	24.94
200792	SENSORS_VALUES	78	0	0	27.90	25.4	6.3	26.59	14.5	-2.6	24.80	55.9	15.4	73.88	25.00
210792	SENSORS_VALUES	78	0	0	28.08	26.0	6.8	26.64	14.5	-2.5	24.79	55.9	15.4	74.94	24.94
220791	SENSORS_VALUES	78	0	0	28.29	26.7	7.4	26.66	14.6	-2.4	24.80	55.9	15.4	75.94	24.94
230792	SENSORS_VALUES	78	0	0	28.52	27.2	7.8	26.67	14.7	-2.3	24.79	55.9	15.4	76.81	24.94
