77	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
82	SM_STATE	'none' -> 'regenerate' Statemachine initialization
882	SENSORS_VALUES	78	0	0	26.20	17.7	-0.2	26.08	10.8	-6.9	24.94	60.4	16.8	27.56	24.94
10792	SENSORS_VALUES	78	0	0	26.24	17.2	-0.5	26.08	10.8	-6.9	24.93	60.4	16.8	30.38	24.94
20792	SENSORS_VALUES	78	0	0	26.27	17.0	-0.7	26.11	10.8	-6.8	24.94	60.3	16.8	35.06	24.94
30791	SENSORS_VALUES	78	0	0	26.30	17.0	-0.7	26.13	10.8	-6.8	24.94	60.2	16.7	39.44	25.00
40792	SENSORS_VALUES	78	0	0	26.31	17.0	-0.6	26.16	10.8	-6.8	24.97	60.2	16.8	43.38	24.94
50792	SENSORS_VALUES	78	0	0	26.33	17.0	-0.6	26.19	10.8	-6.7	24.94	60.2	16.8	46.88	24.88
60793	SENSORS_VALUES	78	0	0	26.36	17.0	-0.6	26.22	10.9	-6.6	24.97	60.2	16.8	50.06	24.88
70792	SENSORS_VALUES	78	0	0	26.41	17.1	-0.5	26.22	10.9	-6.6	24.97	60.3	16.8	52.94	24.94
80792	SENSORS_VALUES	78	0	0	26.47	17.2	-0.4	26.26	10.9	-6.6	24.99	60.3	16.8	55.50	24.88
90791	SENSORS_VALUES	78	0	0	26.50	17.3	-0.2	26.31	11.0	-6.4	24.99	60.3	16.8	57.88	24.94
100792	SENSORS_VALUES	78	0	0	26.58	17.5	-0.0	26.32	11.0	-6.4	24.99	60.3	16.8	60.13	24.88
110791	SENSORS_VALUES	78	0	0	26.65	17.7	0.2	26.36	11.0	-6.4	25.02	60.3	16.8	62.19	24.94
120791	SENSORS_VALUES	78	0	0	26.77	18.0	0.5	26.38	11.1	-6.3	24.96	60.3	16.8	64.00	24.94
130792	SENSORS_VALUES	78	0	0	26.87	18.2	0.8	26.43	11.2	-6.1	24.96	60.4	16.8	65.56	24.94
140793	SENSORS_VALUES	78	0	0	26.97	18.6	1.1	26.46	11.2	-6.1	24.99	60.4	16.8	67.19	24.94
150793	SENSORS_VALUES	78	0	0	27.10	18.9	1.5	26.46	11.3	-5.9	24.96	60.4	16.8	68.63	24.88
160791	SENSORS_VALUES	78	0	0	27.24	19.3	1.9	26.49	11.3	-5.9	24.97	60.4	16.8	69.94	24.88
170791	SENSORS_VALUES	78	0	0	27.40	19.6	2.2	26.53	11.4	-5.8	24.97	60.4	16.8	71.25	24.94
180791	SENSORS_VALUES	78	0	0	27.57	20.0	2.7	26.56	11.5	-5.6	24.97	60.3	16.8	72.44	24.94
190792	SENSORS_VALUES	78	0	0	27.76	20.4	3.1	26.60	11.5	-5.6	24.99	60.3	16.8	73.63	24.88
200791	SENSORS_VALUES	78	0	0	27.94	20.9	3.5	26.64	11.7	-5.4	25.00	60.3	16.8	74.69	24.94
210792	SENSORS_VALUES	78	0	0	28.15	21.4	4.0	26.66	11.8	-5.2	25.00	60.3	16.8	75.75	24.94
220791	SENSORS_VALUES	78	0	0	28.37	21.8	4.5	26.72	11.9	-5.1	24.97	60.2	16.8	76.69	24.94
230792	SENSORS_VALUES	78	0	0	28.58	22.3	5.0	26.73	12.0	-5.0	24.99	60.1	16.8	77.63	24.94
240791	SENSORS_VALUES	78	0	0	28.85	22.7	5.5	26.74	12.0	-4.9	25.00	60.1	16.8	78.44	24.94
250791	SENSORS_VALUES	78	0	0	29.05	23.2	6.0	26.82	12.1	-4.8	24.99	60.1	16.7	79.25	24.94
260792	SENSORS_VALUES	78	0	0	29.31	23.7	6.5	26.84	12.2	-4.7	25.00	60.0	16.7	79.94	24.88
270793	SENSORS_VALUES	78	0	0	29.57	24.1	7.0	26.89	12.2	-4.6	24.99	60.0	16.7	80.69	24.94
280792	SENSORS_VALUES	78	0	0	29.81	24.5	7.4	26.91	12.3	-4.5	24.97	60.0	16.7	81.31	24.94
290792	SENSORS_VALUES	78	0	0	30.11	25.0	7.9	26.97	12.4	-4.4	24.96	60.0	16.7	82.00	24.94
300792	SENSORS_VALUES	78	0	0	30.37	25.4	8.4	26.98	12.4	-4.3	25.00	60.1	16.8	82.50	24.94
310791	SENSORS_VALUES	78	0	0	30.62	25.8	8.9	27.06	12.5	-4.2	24.96	60.0	16.7	83.00	24.94
320791	SENSORS_VALUES	78	0	0	30.88	26.2	9.3	27.10	12.6	-4.1	24.97	60.0	16.7	83.50	24.94
330792	SENSORS_VALUES	78	0	0	31.18	26.6	9.8	27.10	12.6	-4.0	24.96	60.0	16.7	84.00	24.94
340791	SENSORS_VALUES	78	0	0	31.45	27.1	10.3	27.18	12.7	-3.9	24.99	60.0	16.7	84.44	24.94
350791	SENSORS_VALUES	78	0	0	31.73	27.4	10.7	27.21	12.8	-3.8	25.00	59.9	16.7	84.81	25.00
360791	SENSORS_VALUES	78	0	0	32.03	27.9	11.2	27.25	12.8	-3.7	25.00	59.9	16.7	85.25	24.94
370791	SENSORS_VALUES	78	0	0	32.31	28.2	11.6	27.30	12.9	-3.6	25.03	59.9	16.7	85.69	24.94
380791	SENSORS_VALUES	78	0	0	32.60	28.6	12.1	27.34	13.0	-3.4	25.02	59.8	16.7	86.13	24.94
390792	SENSORS_VALUES	78	0	0	32.89	28.9	12.5	27.35	13.0	-3.4	25.00	59.9	16.7	86.50	24.94
400793	SENSORS_VALUES	78	0	0	33.18	29.3	12.9	27.44	13.1	-3.2	25.00	59.8	16.7	86.88	24.94
410792	SENSORS_VALUES	78	0	0	33.42	29.5	13.3	27.47	13.2	-3.1	25.06	59.8	16.7	87.13	25.00
420791	SENSORS_VALUES	78	0	0	33.73	29.8	13.7	27.51	13.3	-3.0	25.03	59.8	16.7	87.13	25.00
430791	SENSORS_VALUES	78	0	0	33.98	30.2	14.1	27.55	13.4	-2.9	25.02	59.7	16.7	87.19	25.00
440791	SENSORS_VALUES	78	0	0	34.27	30.4	14.5	27.59	13.5	-2.7	25.03	59.8	16.7	87.31	25.00
450792	SENSORS_VALUES	78	0	0	34.54	30.7	14.8	27.64	13.6	-2.7	24.99	59.7	16.7	87.38	25.06
460793	SENSORS_VALUES	78	0	0	34.81	31.0	15.2	27.69	13.6	-2.6	25.02	59.8	16.7	87.50	25.00
470793	SENSORS_VALUES	78	0	0	35.07	31.2	15.5	27.72	13.7	-2.4	25.03	59.8	16.7	87.63	25.00
480792	SENSORS_VALUES	78	0	0	35.33	31.4	15.9	27.75	13.8	-2.3	25.06	59.8	16.7	87.81	25.00
490792	SENSORS_VALUES	78	0	0	35.60	31.6	16.2	27.79	13.9	-2.2	25.03	59.8	16.7	87.94	25.00
500791	SENSORS_VALUES	78	0	0	35.82	31.8	16.5	27.84	14.0	-2.1	25.03	59.8	16.7	88.13	25.00
510791	SENSORS_VALUES	78	0	0	36.11	31.9	16.8	27.88	14.1	-2.0	25.03	59.9	16.7	88.25	25.00
520792	SENSORS_VALUES	78	0	0	36.35	32.1	17.1	27.93	14.1	-1.9	25.05	59.9	16.7	88.38	25.00
