122	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
127	SM_STATE	'none' -> 'regenerate' Statemachine initialization
1076	SENSORS_VALUES	78	0	0	51.97	24.4	25.8	30.31	41.3	15.8	25.42	53.6	15.4	94.25	26.00
10941	SENSORS_VALUES	78	0	1	52.01	23.2	24.9	30.31	41.3	15.8	25.45	53.6	15.4	93.88	26.00
20942	SENSORS_VALUES	78	0	0	52.00	24.3	25.8	30.31	41.3	15.8	25.50	53.5	15.4	94.06	26.06
30941	SENSORS_VALUES	78	0	1	52.03	23.1	24.9	30.31	41.3	15.7	25.52	53.4	15.4	94.25	26.06
40942	SENSORS_VALUES	78	0	0	52.03	24.3	25.8	30.31	41.3	15.8	25.55	53.7	15.5	94.38	26.06
50942	SENSORS_VALUES	78	0	1	52.03	23.1	24.9	30.33	41.3	15.7	25.58	53.5	15.5	94.50	26.06
60941	SENSORS_VALUES	78	0	0	52.03	24.2	25.7	30.31	41.3	15.7	25.61	53.5	15.5	94.63	26.00
70941	SENSORS_VALUES	78	0	1	52.07	23.0	24.9	30.31	41.3	15.7	25.60	53.5	15.5	94.75	26.06
80941	SENSORS_VALUES	78	0	0	52.06	24.2	25.7	30.33	41.3	15.8	25.58	53.5	15.5	94.81	26.06
90941	SENSORS_VALUES	78	0	1	52.07	23.0	24.9	30.34	41.2	15.7	25.60	53.5	15.5	94.94	26.06
100941	SENSORS_VALUES	78	0	0	52.07	24.2	25.7	30.33	41.3	15.7	25.62	53.5	15.5	95.00	26.06
110941	SENSORS_VALUES	78	0	1	52.10	23.0	24.9	30.31	41.3	15.7	25.64	53.6	15.6	95.06	26.00
120941	SENSORS_VALUES	0	0	0	52.04	24.1	25.6	30.31	41.2	15.7	25.65	53.9	15.7	94.13	26.00
130941	SENSORS_VALUES	78	0	0	52.03	24.3	25.7	30.33	41.2	15.7	25.60	53.9	15.6	93.63	26.00
140942	SENSORS_VALUES	78	0	1	52.06	23.1	24.9	30.33	41.2	15.7	25.57	54.0	15.6	93.88	26.06
150943	SENSORS_VALUES	78	0	0	52.04	24.2	25.7	30.33	41.3	15.7	25.52	54.0	15.6	94.13	26.00
160941	SENSORS_VALUES	78	0	1	52.07	23.0	24.9	30.33	41.2	15.7	25.51	54.1	15.6	94.38	26.06
170941	SENSORS_VALUES	78	0	0	52.09	24.1	25.7	30.33	41.3	15.7	25.55	54.1	15.6	94.56	26.06
180941	SENSORS_VALUES	78	0	1	52.09	23.0	24.9	30.33	41.2	15.7	25.51	54.1	15.6	94.75	26.06
190941	SENSORS_VALUES	78	0	0	52.10	24.0	25.6	30.34	41.3	15.8	25.51	54.2	15.6	94.88	26.06
200942	SENSORS_VALUES	78	0	1	52.11	22.9	24.9	30.36	41.2	15.7	25.52	54.2	15.6	95.06	26.06
210942	SENSORS_VALUES	0	0	0	52.09	24.0	25.6	30.33	41.2	15.7	25.55	54.2	15.6	94.13	26.06
220941	SENSORS_VALUES	78	0	0	52.07	24.1	25.7	30.36	41.2	15.7	25.51	54.2	15.6	93.63	26.06
230943	SENSORS_VALUES	78	0	1	52.07	22.9	24.8	30.34	41.2	15.7	25.54	54.2	15.6	93.94	26.06
240942	SENSORS_VALUES	78	0	0	52.06	24.0	25.6	30.34	41.2	15.7	25.51	54.2	15.6	94.19	26.06
250942	SENSORS_VALUES	78	0	0	52.04	24.1	25.6	30.33	41.2	15.7	25.48	54.2	15.6	94.50	26.06
260942	SENSORS_VALUES	78	0	1	52.07	22.9	24.8	30.34	41.1	15.7	25.47	54.1	15.6	94.69	26.00
270942	SENSORS_VALUES	78	0	0	52.04	24.0	25.6	30.36	41.2	15.7	25.45	54.1	15.5	94.88	26.06
280942	SENSORS_VALUES	78	0	1	52.06	22.9	24.8	30.36	41.1	15.7	25.50	54.0	15.6	95.06	26.06
290942	SENSORS_VALUES	0	0	0	52.04	23.9	25.5	30.36	41.2	15.7	25.47	54.0	15.5	94.13	26.06
300943	SENSORS_VALUES	78	0	1	52.07	22.8	24.8	30.34	41.1	15.7	25.50	53.9	15.5	93.63	26.06
310942	SENSORS_VALUES	78	0	0	52.07	23.9	25.5	30.34	41.2	15.7	25.50	53.9	15.5	93.81	26.06
320941	SENSORS_VALUES	78	0	1	52.09	22.8	24.7	30.36	41.1	15.7	25.52	53.8	15.5	94.13	26.06
330942	SENSORS_VALUES	78	0	0	52.10	23.8	25.5	30.36	41.2	15.7	25.54	53.9	15.5	94.31	26.06
340941	SENSORS_VALUES	78	0	0	52.11	23.9	25.6	30.37	41.1	15.7	25.54	53.9	15.6	94.56	26.06
