75	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
80	SM_STATE	'none' -> 'regenerate' Statemachine initialization
1029	SENSORS_VALUES	78	0	0	39.77	49.7	27.3	28.00	33.4	10.5	24.97	55.0	15.4	72.56	24.94
10941	SENSORS_VALUES	78	0	1	39.93	46.5	26.3	28.02	33.3	10.4	24.96	55.0	15.3	72.63	24.94
20942	SENSORS_VALUES	78	0	1	40.10	44.5	25.7	28.02	33.3	10.4	24.97	54.9	15.3	74.31	24.94
30941	SENSORS_VALUES	78	0	1	40.20	43.0	25.2	28.02	33.6	10.5	24.96	54.8	15.3	75.94	25.00
40941	SENSORS_VALUES	78	0	0	40.34	46.5	26.7	28.03	33.6	10.6	24.94	55.0	15.3	77.44	25.00
50942	SENSORS_VALUES	78	0	1	40.44	42.7	25.3	28.06	33.7	10.6	24.89	55.1	15.3	78.75	25.00
60941	SENSORS_VALUES	78	0	1	40.58	41.3	24.9	28.05	33.7	10.6	24.86	55.2	15.3	79.88	25.00
70943	SENSORS_VALUES	78	0	0	40.66	45.0	26.4	28.09	33.8	10.7	24.86	55.3	15.3	80.94	25.00
80941	SENSORS_VALUES	78	0	1	40.75	41.4	25.1	28.10	33.8	10.7	24.86	55.1	15.3	81.88	25.00
90942	SENSORS_VALUES	78	0	0	40.84	44.7	26.5	28.16	33.7	10.7	24.80	55.2	15.2	82.88	25.06
100942	SENSORS_VALUES	78	0	1	40.92	41.3	25.2	28.16	33.6	10.7	24.80	55.1	15.2	83.94	25.00
110941	SENSORS_VALUES	78	0	0	41.01	44.6	26.6	28.20	33.6	10.7	24.82	55.0	15.2	84.69	25.00
120941	SENSORS_VALUES	78	0	1	41.09	41.3	25.3	28.22	33.5	10.7	24.80	55.1	15.2	85.38	25.06
130941	SENSORS_VALUES	78	0	1	41.19	40.2	25.0	28.24	33.6	10.7	24.80	55.1	15.2	85.88	25.06
140941	SENSORS_VALUES	78	0	0	41.25	44.3	26.7	28.27	33.7	10.8	24.76	55.1	15.2	86.31	25.06
150941	SENSORS_VALUES	78	0	1	41.37	40.7	25.4	28.27	33.5	10.7	24.80	55.2	15.2	86.75	25.06
160941	SENSORS_VALUES	78	0	1	41.46	39.7	25.0	28.30	33.7	10.8	24.80	55.1	15.2	87.13	25.00
170942	SENSORS_VALUES	78	0	0	41.54	44.2	26.9	28.33	33.8	10.9	24.83	55.2	15.3	87.44	25.06
180942	SENSORS_VALUES	78	0	1	41.67	40.3	25.5	28.36	33.6	10.8	24.80	55.3	15.3	87.75	25.06
190943	SENSORS_VALUES	78	0	1	41.77	39.4	25.2	28.40	33.7	10.9	24.80	55.1	15.2	87.75	25.13
200943	SENSORS_VALUES	78	0	0	41.87	44.3	27.2	28.40	33.8	11.0	24.82	55.2	15.3	87.81	25.06
210942	SENSORS_VALUES	78	0	1	41.97	40.0	25.6	28.43	33.7	10.9	24.82	55.2	15.3	87.94	25.06
220942	SENSORS_VALUES	78	0	1	42.05	39.0	25.3	28.43	33.8	11.0	24.82	55.2	15.3	88.06	25.06
230941	SENSORS_VALUES	78	0	1	42.17	38.5	25.1	28.46	34.0	11.1	24.82	55.2	15.3	88.06	25.06
240941	SENSORS_VALUES	78	0	0	42.27	44.0	27.5	28.47	33.9	11.1	24.83	55.1	15.3	88.19	25.06
250942	SENSORS_VALUES	78	0	1	42.41	39.3	25.7	28.49	33.8	11.1	24.85	55.1	15.3	88.31	25.06
260941	SENSORS_VALUES	78	0	1	42.49	38.3	25.3	28.49	34.0	11.1	24.83	55.1	15.3	88.38	25.06
270942	SENSORS_VALUES	78	0	1	42.60	37.8	25.2	28.51	34.1	11.2	24.83	55.2	15.3	88.44	25.06
280942	SENSORS_VALUES	78	0	0	42.70	43.6	27.7	28.56	34.0	11.2	24.82	55.3	15.3	88.56	25.06
290941	SENSORS_VALUES	78	0	1	42.81	38.6	25.7	28.53	34.0	11.2	24.82	55.4	15.3	88.75	25.06
300942	SENSORS_VALUES	78	0	1	42.90	37.7	25.4	28.54	34.2	11.3	24.83	55.3	15.3	88.81	25.13
310943	SENSORS_VALUES	78	0	1	43.01	37.2	25.3	28.57	34.2	11.3	24.80	55.3	15.3	88.88	25.13
320943	SENSORS_VALUES	78	0	1	43.13	36.8	25.2	28.60	34.3	11.4	24.83	55.3	15.3	88.88	25.13
330941	SENSORS_VALUES	78	0	0	43.21	42.8	27.9	28.60	34.3	11.4	24.80	55.4	15.3	89.00	25.13
340943	SENSORS_VALUES	78	0	1	43.31	37.6	25.7	28.60	34.2	11.3	24.82	55.3	15.3	89.13	25.13
350942	SENSORS_VALUES	78	0	1	43.40	36.7	25.4	28.61	34.3	11.4	24.79	55.4	15.3	89.19	25.13
360943	SENSORS_VALUES	78	0	1	43.51	36.2	25.3	28.64	34.4	11.5	24.79	55.5	15.3	89.25	25.13
370943	SENSORS_VALUES	78	0	0	43.61	42.3	28.0	28.64	34.4	11.4	24.79	55.7	15.4	89.38	25.13
380943	SENSORS_VALUES	78	0	1	43.68	37.0	25.8	28.67	34.4	11.5	24.82	55.7	15.4	89.50	25.13
390941	SENSORS_VALUES	78	0	1	43.78	36.2	25.5	28.66	34.4	11.5	24.79	55.7	15.4	89.56	25.13
400942	SENSORS_VALUES	78	0	1	43.88	35.6	25.3	28.69	34.5	11.5	24.77	55.7	15.4	89.63	25.13
410942	SENSORS_VALUES	78	0	0	43.95	41.7	28.1	28.71	34.4	11.5	24.79	55.6	15.3	89.69	25.13
420941	SENSORS_VALUES	78	0	1	44.05	36.5	25.9	28.70	34.4	11.5	24.77	55.6	15.3	89.81	25.13
430942	SENSORS_VALUES	78	0	1	44.16	35.6	25.5	28.70	34.5	11.5	24.76	55.6	15.3	89.88	25.19
440941	SENSORS_VALUES	78	0	1	44.23	35.1	25.4	28.71	34.6	11.6	24.76	55.7	15.3	89.94	25.13
450941	SENSORS_VALUES	78	0	1	44.30	34.7	25.3	28.74	34.6	11.6	24.77	55.6	15.3	89.94	25.13
460942	SENSORS_VALUES	78	0	0	44.40	40.8	28.1	28.77	34.7	11.7	24.77	55.7	15.3	90.00	25.13
470941	SENSORS_VALUES	78	0	1	44.47	35.6	25.8	28.75	34.6	11.6	24.76	55.6	15.3	90.13	25.13
480941	SENSORS_VALUES	78	0	1	44.53	34.7	25.4	28.74	34.7	11.7	24.75	55.6	15.3	90.19	25.13
490943	SENSORS_VALUES	78	0	1	44.63	34.2	25.3	28.78	34.8	11.7	24.77	55.6	15.3	90.25	25.13
500941	SENSORS_VALUES	78	0	0	44.70	40.3	28.1	28.75	34.7	11.7	24.76	55.5	15.3	90.31	25.06
510943	SENSORS_VALUES	78	0	1	44.77	35.0	25.8	28.80	34.7	11.7	24.76	55.4	15.3	90.44	25.13
520941	SENSORS_VALUES	78	0	1	44.87	34.2	25.5	28.81	34.8	11.8	24.76	55.5	15.3	90.50	25.13
530942	SENSORS_VALUES	78	0	1	44.93	33.7	25.3	28.81	34.8	11.8	24.77	55.7	15.3	90.50	25.13
540942	SENSORS_VALUES	78	0	0	45.00	39.7	28.2	28.81	34.8	11.8	24.77	55.7	15.4	90.56	25.13
550942	SENSORS_VALUES	78	0	1	45.11	34.5	25.8	28.84	34.8	11.8	24.77	55.6	15.3	90.75	25.13
560942	SENSORS_VALUES	78	0	1	45.17	33.6	25.5	28.84	34.9	11.8	24.79	55.5	15.3	90.81	25.13
570942	SENSORS_VALUES	78	0	1	45.22	33.2	25.3	28.86	34.9	11.9	24.79	55.4	15.3	90.81	25.06
580941	SENSORS_VALUES	78	0	0	45.31	39.2	28.2	28.84	34.9	11.8	24.76	55.4	15.3	90.88	25.13
590942	SENSORS_VALUES	78	0	1	45.37	33.9	25.8	28.86	34.9	11.8	24.77	55.5	15.3	91.00	25.13
600941	SENSORS_VALUES	78	0	1	45.44	33.1	25.4	28.89	34.9	11.9	24.77	55.6	15.3	91.06	25.13
610941	SENSORS_VALUES	78	0	1	45.52	32.7	25.3	28.90	35.0	11.9	24.79	55.5	15.3	91.06	25.13
620942	SENSORS_VALUES	78	0	0	45.61	38.7	28.2	28.93	35.0	12.0	24.79	55.4	15.3	91.13	25.13
630942	SENSORS_VALUES	78	0	1	45.68	33.4	25.8	28.91	35.0	12.0	24.79	55.4	15.3	91.25	25.13
640941	SENSORS_VALUES	78	0	1	45.75	32.6	25.5	28.94	35.1	12.0	24.80	55.3	15.3	91.31	25.13
650952	SENSORS_VALUES	78	0	1	45.80	32.2	25.3	28.98	35.1	12.1	24.80	55.4	15.3	91.31	25.13
660941	SENSORS_VALUES	78	0	1	45.88	31.9	25.2	28.94	35.1	12.0	24.80	55.4	15.3	91.31	25.13
670942	SENSORS_VALUES	78	0	0	45.95	37.9	28.2	28.97	35.2	12.1	24.80	55.4	15.3	91.38	25.13
680942	SENSORS_VALUES	78	0	1	46.03	32.7	25.7	28.98	35.1	12.1	24.79	55.4	15.3	91.50	25.13
690941	SENSORS_VALUES	78	0	1	46.09	32.0	25.4	28.98	35.2	12.1	24.79	55.4	15.3	91.50	25.13
700941	SENSORS_VALUES	78	0	1	46.13	31.5	25.2	28.98	35.2	12.1	24.80	55.5	15.3	91.56	25.13
710943	SENSORS_VALUES	78	0	0	46.19	37.5	28.2	29.00	35.2	12.1	24.82	55.5	15.3	91.56	25.13
720942	SENSORS_VALUES	78	0	1	46.27	32.3	25.7	29.00	35.2	12.1	24.80	55.5	15.3	91.75	25.19
730942	SENSORS_VALUES	78	0	1	46.33	31.5	25.4	29.00	35.2	12.1	24.79	55.5	15.3	91.75	25.13
740943	SENSORS_VALUES	78	0	1	46.39	31.1	25.2	29.03	35.4	12.2	24.79	55.5	15.3	91.75	25.13
