Designator,Mid X,Mid Y,Rotation,Layer
C1,28.2956,85.3752,0.0,top
C2,8.7884,-0.2736,180.0,top
C20,-5.0038,36.9446,90.0,top
D1,20.32,12.528,0.0,top
D2,-27.051,10.496,270.0,top
D3,21.2344,71.3544,180.0,top
D4,21.2344,66.2236,180.0,top
D5,-7.493,-7.4168,0.0,top
D6,21.7424,9.6832,0.0,top
D7,-19.05,13.544,90.0,top
D8,-7.493,-10.0068,0.0,top
D9,-7.5439,-12.5968,0.0,top
Elmwood-D139-2,-13.2696,38.1254,0.0,top
FanQ1,26.7652,7.3972,180.0,top
FanQ2,-22.5552,11.6431,90.0,top
J4,29.7716,76.5424,180.0,top
P1,-8.104,76.282,270.0,top
PowerQ1,30.4079,69.8304,0.0,top
PowerQ2,30.3063,63.6836,0.0,top
PowerR1,-12.0,51.0,180.0,top
PowerR10,-4.0,33.0,180.0,top
PowerR11,-4.0,29.0,180.0,top
PowerR12,-4.0,25.0,180.0,top
PowerR13,4.0,51.0,180.0,top
PowerR14,4.0,47.0,180.0,top
PowerR15,4.0,43.0,180.0,top
PowerR16,4.0,33.0,180.0,top
PowerR17,4.0,29.0,180.0,top
PowerR18,4.0,25.0,180.0,top
PowerR19,12.0,51.0,180.0,top
PowerR2,-12.0,47.0,180.0,top
PowerR20,12.0,47.0,180.0,top
PowerR21,12.0,43.0,180.0,top
PowerR22,12.0,33.0,180.0,top
PowerR23,12.0,29.0,180.0,top
PowerR24,12.0,25.0,180.0,top
PowerR3,-12.0,43.0,180.0,top
PowerR4,-12.0,33.0,180.0,top
PowerR5,-12.0,29.0,180.0,top
PowerR6,-12.0,25.0,180.0,top
PowerR7,-4.0,51.0,180.0,top
PowerR8,-4.0,47.0,180.0,top
PowerR9,-4.0,43.0,180.0,top
R1,23.9268,65.614,270.0,top
R10,-8.9408,-8.808,0.0,top
R11,-8.9916,-11.3988,0.0,top
R15,0.508,34.626,0.0,top
R19,18.6823,9.6832,180.0,top
R2,23.876,70.7448,270.0,top
R20,-18.923,10.2045,270.0,top
R22,19.4443,74.9104,0.0,top
R3,19.5459,78.2124,0.0,top
R4,20.828,89.2868,180.0,top
R5,20.8667,91.69375,180.0,top
R6,2.032,-4.109,180.0,top
R7,-32.258,61.55,180.0,top
R8,-29.464,61.55,0.0,top
R9,-8.9021,-6.0648,0.0,top
U1,23.9776,86.0864,270.0,top
U2,-8.763,37.039,270.0,top
U3,8.0518,-4.826,90.0,top
U4,4.826,37.928,270.0,top
USER_BUTTON1,0.0,-11.5,180.0,top
dryer_print3D1,0.0,0.0,0.0,top
